SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,Unit at 301 E 81st St,New York,NY,10028,4950000,3,3.5,Upper East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/301-E-81st-St-10028/home/172519252,REBNY,DEGI3980574,N,Y,40.7745984,-73.9535703
MLS Listing,,Condo/Co-op,Unit at 504 Grand St,New York,NY,10002,829000,2,1.0,Lower East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/504-Grand-St-10002/home/172519251,REBNY,HALS20245258,N,Y,40.7152214,-73.9819469
MLS Listing,,Condo/Co-op,Unit at 413 Grand St,New York,NY,10002,1350000,3,1.5,Lower East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/413-Grand-St-10002/home/172519249,REBNY,HALS20218872,N,Y,40.7152739,-73.9863662
MLS Listing,,Condo/Co-op,Unit at 804 W 180th St,New York,NY,10033,620000,2,1.0,Hudson Heights,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/804-W-180th-St-10033/home/105883093,REBNY,UCOM1317991,N,Y,40.8499127,-73.9389587
MLS Listing,,Condo/Co-op,Unit at 60 E 9th St,New York,NY,10003,499000,0,1.0,Greenwich Village,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/60-E-9th-St-10003/home/172519248,REBNY,BBRL2981936,N,Y,40.7311193,-73.9925923
MLS Listing,,Condo/Co-op,Unit at 25 Sutton Pl S,New York,NY,10022,1750000,2,2.0,Middle East Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/25-Sutton-Pl-S-10022/home/45198498,REBNY,NYPR85472,N,Y,40.7562351,-73.9608548
MLS Listing,,Condo/Co-op,Unit at 245 E 25th St,New York,NY,10010,1195000,2,1.5,Gramercy Park,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/245-E-25th-St-10010/home/45212626,REBNY,HALS20248831,N,Y,40.7395383,-73.9803775
MLS Listing,,Condo/Co-op,Unit at 259 W 85th St,New York,NY,10024,1395000,2,2.0,Upper West Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/259-W-85th-St-10024/home/45224474,REBNY,HALS20249342,N,Y,40.7881555,-73.9776582
MLS Listing,,Condo/Co-op,Unit at 215 W 105th St,New York,NY,10025,619000,1,1.0,Upper West Side,,,,2,,,Active,,,http://www.redfin.com/NY/New-York/215-W-105th-St-10025/home/45163809,REBNY,HALS20221425,N,Y,40.8001551,-73.9667851
MLS Listing,,Condo/Co-op,99 Battery Pl Unit 16A,New York,NY,10280,725000,1,1.0,Liberty View,624,,1988,2,1162,1000,Active,,,http://www.redfin.com/NY/New-York/99-Battery-Pl-10280/unit-16A/home/45236397,OneKey,3234064,N,Y,40.7076052,-74.0166314
